Date, Time, Field, Home, Away
2012-09-04, 6:00 PM, , Goodness of Hit, 
2012-09-12, 7:00 PM, , Swingers, Goodness of Hit
2012-09-11, 7:00 PM, , God Complex, Goodness of Hit
2012-09-13, 6:00 PM, , Ionizers, Goodness of Hit
2012-09-16, 2:00 PM, , Electrons, Goodness of Hit
