game, batters, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
   1,      13, 28, 15, 11,  4,   1,   0,  1,  11, 13,  1,  0,   0, 0.267, 0.607, 0.533, 1.140
   2,      12, 17, 17,  0,  3,   0,   0,  0,   0,  0,  0,  0,   1, 0.176, 0.176, 0.176, 0.352
   3,      15, 30, 27,  3,  9,   1,   0,  0,   3,  3,  4,  0,   0, 0.333, 0.400, 0.370, 0.770
   4,      13, 22, 20,  2,  6,   1,   0,  0,   2,  2,  4,  0,   0, 0.300, 0.364, 0.350, 0.714
   5,      12, 28, 28,  2,  7,   0,   1,  0,   2,  0,  3,  0,   0, 0.250, 0.250, 0.321, 0.571
   7,      10, 28, 24,  6, 10,   3,   1,  0,   5,  4,  0,  0,   0, 0.417, 0.500, 0.625, 1.125
   8,      11, 22, 22,  0,  7,   0,   1,  0,   1,  0,  3,  0,   0, 0.318, 0.318, 0.409, 0.727
   9,      11, 26, 22,  4, 10,   1,   0,  0,   4,  3,  0,  1,   0, 0.455, 0.500, 0.500, 1.000
