Date, Time, Field, Home, Away, Result
2011-05-17, 7:00 PM, 1, Goodness of Hit, Misfits, W (11-8)
2011-05-24, 7:00 PM, 3, Goodness of Hit, Great Bam-Aminos, L (0-?)
2011-05-26, 8:00 PM, 1, Bad Medicine, Goodness of Hit,
2011-05-31, 7:00 PM, 1, Goodness of Hit, Psummer Psychos, ? (3-3?)
2011-06-09, 6:00 PM, 1, Accelerators, Goodness of Hit, L (2-14)
2011-06-14, 6:00 PM, 3, Sutures, Goodness of Hit, ? (2-?)
2011-06-21, 7:00 PM, 3, Misfits, Goodness of Hit,
2011-06-23, 8:00 PM, 1, Great Bam-Aminos, Goodness of Hit,
2011-06-28, 7:00 PM, 3, Goodness of Hit, Bad Medicine,
2011-07-12, 7:00 PM, 1, Psummer Psychos, Goodness of Hit, ? (7-?)
2011-07-19, 6:00 PM, 3, Goodness of Hit, McGugin Mayhem, ? (1-?)
2011-07-21, 6:00 PM, 1, Goodness of Hit, Accelerators, L (4-8)
