game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   1,      16,   6, 33, 26, 11, 12,   3,   0,  3,  11,  7,  2,  0,   1, 0.462, 0.576, 0.923, 1.499, 0.731, 10.869, 10.214
   2,      11,   7, 39, 36, 14, 15,   1,   0,  5,  14,  3,  3,  0,   0, 0.417, 0.462, 0.861, 1.323, 0.528, 12.025, 11.526
   3,      10,   6, 38, 35, 14, 17,   3,   0,  6,  14,  3,  3,  0,   0, 0.486, 0.526, 1.086, 1.612, 0.686, 14.962, 14.176
   4,      12,   6, 44, 39, 18, 21,   1,   3,  4,  18,  5,  4,  0,   0, 0.538, 0.591, 1.026, 1.617, 0.615, 18.086, 16.148
   5,       9,   5, 23, 22,  7, 11,   3,   1,  2,   7,  0,  1,  1,   0, 0.500, 0.478, 1.000, 1.478, 0.500,  8.283,  7.952
   8,      11,   7, 41, 40, 14, 21,   4,   2,  2,  14,  1,  5,  0,   0, 0.525, 0.537, 0.875, 1.412, 0.375, 14.645, 12.930
   9,      13,   7, 44, 39, 14, 19,   4,   0,  0,  14,  5,  3,  0,   1, 0.487, 0.545, 0.590, 1.135, 0.231, 11.374,  9.886
