Date, Time, Field, Home, Away, Result
2010-09-14, 8:00 PM, 1, Psoftball Psychos, Goodness of Hit,
2010-09-16, 5:00 PM, 2, Ionizers, Goodness of Hit, L (5-9)
2010-09-21, 8:00 PM, 1, Great Bam-Aminos, Goodness of Hit,
2010-09-23, 5:00 PM, 2, Goodness of Hit, AmbassaDores, W (10-5)
2010-09-29, 5:00 PM, 1, The Replacements, Goodness of Hit, ? (1-?)
2010-09-30, 6:00 PM, 2, Rutkowski's Revenge, Goodness of Hit, L (1-6)
2010-10-04, 6:00 PM, 2, Simakas' Team, Goodness of Hit,
