game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   1,      13,   5, 28, 15, 11,  4,   1,   0,  1,  11, 13,  1,  0,   0, 0.267, 0.607, 0.533, 1.140, 1.133,  6.676,  6.582
   2,      12,   5, 17, 17,  0,  3,   0,   0,  0,   0,  0,  0,  0,   1, 0.176, 0.176, 0.176, 0.353, 0.000, -0.089, -0.130
   4,      15,   6, 30, 27,  3,  9,   1,   0,  0,   3,  3,  4,  0,   0, 0.333, 0.400, 0.370, 0.770, 0.148,  4.547,  4.088
   5,      13,   5, 22, 20,  2,  6,   1,   0,  0,   2,  2,  4,  0,   0, 0.300, 0.364, 0.350, 0.714, 0.150,  2.842,  2.608
   6,      12,   7, 28, 28,  2,  7,   0,   1,  0,   2,  0,  3,  0,   0, 0.250, 0.250, 0.321, 0.571, 0.071,  2.375,  2.126
  10,      10,   5, 28, 24,  7, 10,   3,   1,  0,   7,  4,  0,  0,   0, 0.417, 0.500, 0.625, 1.125, 0.375,  7.022,  6.300
  11,      11,   5, 22, 22,  1,  7,   0,   1,  0,   1,  0,  3,  0,   0, 0.318, 0.318, 0.409, 0.727, 0.091,  3.048,  2.666
  12,      11,   5, 26, 22,  4, 10,   1,   0,  0,   4,  3,  0,  1,   0, 0.455, 0.500, 0.500, 1.000, 0.182,  5.979,  5.530
