Date, Time, Field, Opponent, Result
2013-09-09, 7:00 PM, ?, Ionizers, W (7-6)
2013-09-11, 7:00 PM, ?, Chegsa, L (5-6)
2013-09-16, 6:00 PM, ?, Pitch Please, W (10-6)
2013-09-18, 5:00 PM, ?, Accelerators, 
2013-09-23, 6:00 PM, ?, Skaars and Stripes, 
