game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   2,      12,   6, 32, 28,  5, 11,   0,   1,  0,   5,  3,  5,  1,   0, 0.393, 0.438, 0.464, 0.902, 0.179,  6.332,  6.300
   3,      12,   5, 35, 29, 10, 16,   1,   1,  4,  10,  6,  2,  0,   0, 0.552, 0.629, 1.069, 1.698, 0.724, 14.783, 13.550
   4,      10,   6, 26, 26,  5,  8,   0,   0,  4,   5,  0,  6,  0,   0, 0.308, 0.308, 0.769, 1.077, 0.462,  5.837,  6.620
   6,      12,   7, 40, 37, 18, 21,   3,   5,  3,  18,  2,  6,  1,   1, 0.568, 0.575, 1.162, 1.737, 0.649, 17.573, 16.770
   7,      10,   7, 38, 38, 10, 17,   2,   0,  1,  10,  0,  4,  0,   0, 0.447, 0.447, 0.579, 1.026, 0.132,  9.048,  8.310
   8,      11,   7, 33, 31,  5, 11,   0,   0,  2,   5,  2,  2,  0,   1, 0.355, 0.394, 0.548, 0.942, 0.258,  6.253,  6.420
