    season, game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
2012summer,    5,      12,   6, 34, 33, 11, 16,   2,   2,  3,  11,  1,  0,  0,   0, 0.485, 0.500, 0.939, 1.439
2012summer,    6,      11,   7, 26, 25,  1,  8,   0,   0,  0,   1,  1,  0,  0,   1, 0.320, 0.346, 0.320, 0.666
2012summer,    7,      10,   7, 25, 25,  4,  8,   0,   0,  2,   4,  0,  1,  0,   1, 0.320, 0.320, 0.560, 0.880
2012summer,    8,      11,   5, 34, 33, 15, 19,   2,   0,  2,  14,  1,  0,  0,   0, 0.576, 0.588, 0.818, 1.406
2012summer,    9,      10,   7, 29, 26,  1,  6,   0,   0,  0,   1,  3,  0,  0,   1, 0.231, 0.310, 0.231, 0.541
2012summer,   11,      11,   6, 33, 27,  5, 11,   1,   1,  0,   5,  6,  1,  0,   0, 0.407, 0.515, 0.519, 1.034
2012summer,   12,      12,   5, 38, 28, 14, 16,   0,   1,  1,  10, 10,  0,  0,   3, 0.571, 0.684, 0.750, 1.434
2012summer,   13,      13,   7, 36, 35,  6, 14,   1,   0,  1,   5,  1,  0,  0,   0, 0.400, 0.417, 0.514, 0.931
2013summer,    1,      12,   5, 34, 33, 18, 19,   3,   2,  3,  18,  1,  0,  0,   0, 0.576, 0.588, 1.061, 1.649
2013summer,    2,      13,   5, 26, 24,  8,  8,   0,   0,  2,   8,  2,  1,  0,   0, 0.333, 0.385, 0.583, 0.968
2013summer,    3,      11,   4, 33, 31, 13, 19,   1,   0,  2,  13,  2,  3,  0,   0, 0.613, 0.636, 0.839, 1.475
2013summer,    4,      14,   7, 28, 28,  1,  8,   1,   0,  0,   1,  0,  2,  0,   0, 0.286, 0.286, 0.321, 0.607
2013summer,    5,      13,   6, 34, 31,  7, 14,   3,   1,  2,   7,  3,  1,  0,   0, 0.452, 0.500, 0.806, 1.306
