    season, game,    batter, inn, PA, AB, R, H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
2011summer,   11,     Cathy,   5,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2011summer,   12,     Cathy,   5,  3,  2, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.333, 0.000, 0.333
  2012fall,    2,     Cathy,   5,  3,  2, 0, 1,   0,   0,  0,   0,  1,  1,  0,   0, 0.500, 0.667, 0.500, 1.167
  2012fall,    3,     Cathy,   6,  4,  4, 0, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
  2012fall,    4,     Cathy,   6,  4,  3, 2, 1,   0,   0,  0,   1,  1,  0,  0,   0, 0.333, 0.500, 0.333, 0.833
  2012fall,    5,     Cathy,   7,  5,  5, 0, 1,   0,   0,  0,   2,  0,  0,  0,   0, 0.200, 0.200, 0.200, 0.400
2012spring,    1,     Cathy,   5,  3,  3, 0, 0,   0,   0,  0,   0,  0,  2,  0,   0, 0.000, 0.000, 0.000, 0.000
2012spring,    2,     Cathy,   4,  2,  2, 0, 1,   0,   0,  0,   0,  0,  1,  0,   0, 0.500, 0.500, 0.500, 1.000
2012summer,    1,     Cathy,   7,  3,  3, 0, 1,   0,   0,  0,   0,  0,  1,  0,   0, 0.333, 0.333, 0.333, 0.667
2012summer,    4,     Cathy,   2,  2,  2, 1, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2012summer,    5,     Cathy,   6,  3,  3, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2012summer,    8,     Cathy,   5,  3,  3, 1, 3,   0,   0,  0,   1,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2012summer,    9,     Cathy,   7,  3,  3, 0, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2012summer,   12,     Cathy,   5,  3,  2, 1, 1,   0,   0,  0,   0,  1,  0,  0,   1, 0.500, 0.667, 0.500, 1.167
2013summer,    1,     Cathy,   5,  3,  3, 2, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333
2013summer,    3,     Cathy,   4,  3,  2, 2, 1,   0,   0,  0,   1,  1,  0,  0,   0, 0.500, 0.667, 0.500, 1.167
2013summer,    4,     Cathy,   7,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2013summer,    5,     Cathy,   6,  3,  2, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.333, 0.000, 0.333
  2010fall,    2,   Charlie,   5,  2,  2, 2, 2,   0,   1,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 2.000, 3.000
  2010fall,    5,   Charlie,   3,  1,  1, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
  2010fall,    6,   Charlie,   3,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
  2010fall,    4,     Chris,   4,  2,  1, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.500, 0.000, 0.500
  2010fall,    6,     Chris,   7,  2,  1, 0, 1,   0,   0,  0,   0,  1,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2010summer,    5,     Chris,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    6,     Chris,   5,  2,  2, 0, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2010summer,    8,     Chris,   5,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
  2011fall,    3,     Chris,   3,  2,  2, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
  2010fall,    4,      Cole,   4,  3,  3, 1, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
  2010fall,    5,      Cole,   6,  3,  3, 0, 2,   1,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 1.000, 1.667
  2010fall,    6,      Cole,   7,  2,  2, 0, 0,   0,   0,  0,   0,  0,  1,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    2,      Cole,   5,  1,  0, 0, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 1.000, 0.000, 1.000
2010summer,    4,      Cole,   2,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2010summer,    6,      Cole,   5,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667
2010summer,    7,      Cole,   3,  2,  2, 2, 2,   1,   0,  1,   3,  0,  0,  0,   0, 1.000, 1.000, 3.000, 4.000
2010summer,    8,      Cole,   2,  2,  2, 1, 1,   0,   0,  1,   1,  0,  0,  0,   0, 0.500, 0.500, 2.000, 2.500
2010summer,   11,      Cole,   7,  3,  3, 2, 2,   0,   0,  1,   2,  0,  0,  0,   0, 0.667, 0.667, 1.667, 2.333
  2011fall,    1,      Cole,   5,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
  2011fall,    2,      Cole,   6,  4,  2, 3, 1,   0,   0,  1,   1,  2,  0,  0,   0, 0.500, 0.750, 2.000, 2.750
  2011fall,    3,      Cole,   5,  3,  3, 3, 3,   1,   0,  1,   1,  0,  0,  0,   0, 1.000, 1.000, 2.333, 3.333
  2011fall,    4,      Cole,   6,  3,  3, 2, 3,   1,   1,  1,   3,  0,  0,  0,   0, 1.000, 1.000, 3.000, 4.000
  2011fall,    5,      Cole,   7,  4,  3, 2, 3,   0,   2,  0,   1,  1,  0,  0,   0, 1.000, 1.000, 2.333, 3.333
  2011fall,    6,      Cole,   6,  3,  2, 2, 1,   0,   0,  1,   2,  1,  1,  0,   0, 0.500, 0.667, 2.000, 2.667
2011summer,    1,      Cole,   5,  3,  2, 1, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.333, 0.000, 0.333
2011summer,    2,      Cole,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    4,      Cole,   2,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000
2011summer,    5,      Cole,   5,  2,  2, 0, 1,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2011summer,    6,      Cole,   7,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2011summer,   10,      Cole,   5,  3,  3, 0, 1,   1,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.667, 1.000
2011summer,   11,      Cole,   5,  2,  2, 0, 1,   0,   1,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 1.500, 2.000
2011summer,   12,      Cole,   5,  2,  2, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
  2012fall,    1,      Cole,   6,  4,  3, 2, 3,   0,   1,  0,   1,  1,  0,  0,   0, 1.000, 1.000, 1.667, 2.667
  2012fall,    3,      Cole,   6,  4,  4, 3, 4,   0,   0,  1,   2,  0,  0,  0,   0, 1.000, 1.000, 1.750, 2.750
  2012fall,    4,      Cole,   6,  4,  4, 1, 3,   0,   0,  0,   1,  0,  1,  0,   0, 0.750, 0.750, 0.750, 1.500
  2012fall,    5,      Cole,   7,  5,  5, 2, 5,   2,   0,  1,   5,  0,  0,  0,   0, 1.000, 1.000, 2.000, 3.000
2012spring,    1,      Cole,   5,  3,  3, 1, 2,   0,   1,  0,   0,  0,  0,  0,   0, 0.667, 0.667, 1.333, 2.000
2012spring,    2,      Cole,   4,  2,  2, 1, 1,   0,   0,  1,   1,  0,  0,  0,   0, 0.500, 0.500, 2.000, 2.500
2012summer,    1,      Cole,   7,  4,  4, 1, 3,   0,   0,  1,   1,  0,  0,  0,   0, 0.750, 0.750, 1.500, 2.250
2012summer,    2,      Cole,   8,  4,  4, 1, 1,   0,   0,  1,   2,  0,  0,  0,   0, 0.250, 0.250, 1.000, 1.250
2012summer,    3,      Cole,   5,  2,  2, 1, 2,   1,   1,  0,   1,  0,  0,  0,   0, 1.000, 1.000, 2.500, 3.500
2012summer,    4,      Cole,   2,  2,  2, 2, 2,   1,   1,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 2.500, 3.500
2012summer,    5,      Cole,   6,  3,  2, 2, 2,   0,   0,  0,   1,  1,  0,  0,   0, 1.000, 1.000, 1.000, 2.000
2012summer,    6,      Cole,   7,  2,  2, 1, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000
2012summer,    7,      Cole,   7,  3,  3, 2, 2,   0,   0,  2,   2,  0,  1,  0,   0, 0.667, 0.667, 2.667, 3.333
2012summer,    8,      Cole,   5,  4,  4, 3, 3,   1,   0,  2,   6,  0,  0,  0,   0, 0.750, 0.750, 2.500, 3.250
2012summer,    9,      Cole,   7,  3,  2, 1, 0,   0,   0,  0,   0,  1,  0,  0,   0, 0.000, 0.333, 0.000, 0.333
2012summer,   11,      Cole,   6,  4,  4, 1, 3,   0,   1,  0,   2,  0,  0,  0,   0, 0.750, 0.750, 1.250, 2.000
2012summer,   12,      Cole,   5,  4,  2, 2, 2,   0,   0,  1,   3,  2,  0,  0,   0, 1.000, 1.000, 2.500, 3.500
2012summer,   13,      Cole,   7,  3,  3, 2, 3,   1,   0,  1,   2,  0,  0,  0,   0, 1.000, 1.000, 2.333, 3.333
2013summer,    1,      Cole,   5,  4,  4, 3, 4,   0,   1,  2,   7,  0,  0,  0,   0, 1.000, 1.000, 3.000, 4.000
2013summer,    2,      Cole,   5,  3,  3, 3, 3,   0,   0,  2,   6,  0,  0,  0,   0, 1.000, 1.000, 3.000, 4.000
2013summer,    3,      Cole,   4,  3,  3, 3, 3,   0,   0,  1,   3,  0,  0,  0,   0, 1.000, 1.000, 2.000, 3.000
