    season, game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
  2012fall,    5,       9,   7, 40, 38, 10, 17,   4,   0,  1,  10,  2,  3,  0,   0, 0.447, 0.475, 0.632, 1.107, 0.237, 10.144,  9.350
2012spring,    1,      12,   5, 33, 30,  8, 16,   2,   1,  1,   8,  3,  5,  0,   0, 0.533, 0.576, 0.767, 1.342, 0.333, 11.068, 10.080
2012spring,    2,      12,   4, 21, 21,  3,  9,   0,   0,  1,   3,  0,  2,  0,   0, 0.429, 0.429, 0.571, 1.000, 0.143,  4.876,  4.520
2012spring,    3,      12,   5, 23, 21,  1,  6,   1,   0,  0,   1,  2,  3,  0,   0, 0.286, 0.348, 0.333, 0.681, 0.143,  2.740,  2.790
2012summer,    1,      12,   7, 32, 30,  3, 10,   1,   0,  1,   3,  2,  2,  0,   0, 0.333, 0.375, 0.467, 0.842, 0.200,  5.400,  5.200
2012summer,    2,      12,   8, 38, 38,  6, 14,   4,   0,  2,   6,  0,  1,  0,   0, 0.368, 0.368, 0.632, 1.000, 0.263,  7.997,  7.680
2012summer,    3,      11,   5, 20, 20,  2,  6,   2,   1,  0,   2,  0,  3,  0,   1, 0.300, 0.300, 0.500, 0.800, 0.200,  2.510,  2.960
2012summer,    4,      10,   2, 14, 14,  7,  8,   1,   2,  1,   6,  0,  0,  0,   0, 0.571, 0.571, 1.143, 1.714, 0.571,  6.536,  5.700
2012summer,    5,      12,   6, 34, 33, 11, 16,   2,   2,  3,  11,  1,  0,  0,   0, 0.485, 0.500, 0.939, 1.439, 0.485, 12.264, 11.150
2012summer,    6,      11,   7, 26, 25,  1,  8,   0,   0,  0,   1,  1,  0,  0,   1, 0.320, 0.346, 0.320, 0.666, 0.040,  2.862,  2.810
2012summer,    7,      10,   7, 25, 25,  4,  8,   0,   0,  2,   4,  0,  1,  0,   1, 0.320, 0.320, 0.560, 0.880, 0.240,  4.053,  4.430
2012summer,    8,      11,   5, 34, 33, 15, 19,   2,   0,  2,  15,  1,  0,  0,   0, 0.576, 0.588, 0.818, 1.406, 0.273, 12.565, 10.900
2012summer,    9,      10,   7, 29, 26,  1,  6,   0,   0,  0,   1,  3,  0,  0,   1, 0.231, 0.310, 0.231, 0.541, 0.115,  2.032,  2.220
2012summer,   11,      11,   6, 33, 27,  5, 11,   1,   1,  0,   5,  6,  1,  0,   0, 0.407, 0.515, 0.519, 1.034, 0.333,  7.722,  6.940
2012summer,   12,      12,   5, 38, 28, 14, 16,   0,   1,  1,  14, 10,  0,  0,   3, 0.571, 0.684, 0.750, 1.434, 0.536, 12.348, 11.800
2012summer,   13,      13,   7, 36, 35,  6, 14,   1,   0,  1,   5,  1,  0,  0,   0, 0.400, 0.417, 0.514, 0.931, 0.143,  7.412,  6.610
2013summer,    1,      12,   5, 34, 33, 18, 20,   3,   2,  3,  18,  1,  0,  0,   0, 0.606, 0.618, 1.091, 1.709, 0.515, 15.701, 13.730
2013summer,    2,      13,   5, 26, 24,  8,  9,   0,   0,  2,   8,  2,  1,  0,   0, 0.375, 0.423, 0.625, 1.048, 0.333,  6.046,  5.790
2013summer,    3,      11,   4, 33, 31, 13, 19,   1,   0,  2,  13,  2,  3,  0,   0, 0.613, 0.636, 0.839, 1.475, 0.290, 13.015, 11.440
2013summer,    4,      14,   7, 28, 28,  1,  8,   1,   0,  0,   1,  0,  2,  0,   0, 0.286, 0.286, 0.321, 0.607, 0.036,  2.697,  2.580
2013summer,    5,      13,   6, 34, 31,  7, 14,   3,   0,  3,   7,  3,  1,  0,   0, 0.452, 0.500, 0.839, 1.339, 0.484, 10.673, 10.050
2013summer,    6,      11,   6, 32, 30,  2, 12,   2,   0,  0,   2,  2,  2,  0,   0, 0.400, 0.438, 0.467, 0.904, 0.133,  6.237,  5.660
2013summer,    7,      11,   4, 30, 23, 11, 11,   0,   0,  0,  11,  7,  1,  0,   0, 0.478, 0.600, 0.478, 1.078, 0.304,  7.788,  6.880
2013summer,    8,      12,   5, 42, 40, 20, 26,   2,   2,  3,  20,  1,  0,  1,   0, 0.650, 0.643, 1.025, 1.668, 0.400, 19.259, 16.790
2013summer,    9,      13,   7, 29, 29,  5,  9,   2,   0,  0,   5,  0,  0,  0,   0, 0.310, 0.310, 0.379, 0.690, 0.069,  3.489,  3.140
2013summer,   10,      14,   5, 29, 24,  7, 11,   3,   0,  0,   7,  4,  0,  0,   0, 0.458, 0.536, 0.583, 1.119, 0.292,  7.037,  6.350
2013summer,   11,      13,   7, 34, 31,  7, 11,   0,   0,  2,   7,  2,  2,  1,   0, 0.355, 0.382, 0.548, 0.931, 0.258,  6.676,  6.790
