Date, Time, Field, Opponent, Result
2012-09-04, 6:00 PM, , , W (4-2)
2012-09-12, 7:00 PM, , Swingers, L (4-9)
2012-09-11, 7:00 PM, , God Complex, W (10-1)
2012-09-13, 6:00 PM, , Ionizers, W (10-9)
2012-09-16, 2:00 PM, , Electrons, L (10-13)
