Date, Time, Field, Opponent, Result
2012-04-17, 5:00 PM, , Ionizers, W (8-?)
2012-04-18, 5:00 PM, , Knockouts, L (3-7)
2012-04-18, 6:00 PM, , Psoftball Psychos, L (1-?)
