game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   1,      11,   4, 34, 32, 16, 19,   0,   0,  6,  16,  2,  1,  0,   0, 0.594, 0.618, 1.156, 1.774, 0.625, 16.189, 14.730
   2,      11,   5, 28, 23, 13, 14,   1,   3,  0,  13,  2,  1,  3,   0, 0.609, 0.571, 0.913, 1.484, 0.391, 10.462,  9.900
   4,      14,   5, 25, 25,  6, 11,   0,   1,  1,   6,  0,  0,  0,   0, 0.440, 0.440, 0.640, 1.080, 0.200,  6.492,  5.720
   5,      10,   5, 29, 29,  9, 15,   3,   0,  2,   9,  0,  1,  0,   0, 0.517, 0.517, 0.828, 1.345, 0.310,  9.795,  8.860
   6,      13,   5, 28, 27,  6, 12,   1,   0,  3,   7,  1,  1,  0,   0, 0.444, 0.464, 0.815, 1.279, 0.407,  8.576,  8.110
   7,      13,   7, 34, 34,  6, 13,   3,   0,  1,   6,  0,  2,  0,   0, 0.382, 0.382, 0.559, 0.941, 0.176,  6.759,  6.370
   8,      13,   7, 35, 35,  8, 15,   1,   2,  2,   8,  0,  3,  0,   0, 0.429, 0.429, 0.743, 1.171, 0.314,  9.772,  9.120
